event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1631311065,true,2013-11-29 10:16:00.000,-46.74689038961038,-22.96617651018474,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311066,true,2013-11-29 10:47:00.000,-46.74415130041589,-22.967037480949067,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311067,true,2013-11-29 11:02:00.000,-46.74436966265006,-22.966574520027834,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311068,true,2013-11-29 11:17:00.000,-46.74515718145215,-22.965626675044046,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311069,true,2013-11-29 11:35:00.000,-46.744917915955504,-22.96674006672648,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311070,true,2013-11-29 11:41:00.000,-46.74481424880163,-22.967021154896504,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311071,true,2013-11-29 11:53:00.000,-46.744169199071706,-22.966152289680117,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311072,true,2013-11-29 12:10:00.000,-46.744892256342155,-22.96702029627045,"radio-transmitter","Turdus rufiventris","1163","1","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311073,true,2014-02-22 10:01:00.000,-46.75222706226874,-22.952725329858154,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311074,true,2014-02-22 10:15:00.000,-46.751262071829004,-22.953512615136184,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311075,true,2014-02-22 10:30:00.000,-46.75136096638518,-22.953619889597807,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311076,true,2014-02-22 11:00:00.000,-46.750015490905206,-22.95515187400179,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311077,true,2014-02-22 11:15:00.000,-46.750832868829605,-22.95501642440858,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311078,true,2014-02-22 11:30:00.000,-46.75142506377578,-22.954811213404184,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311079,true,2014-02-22 11:45:00.000,-46.75221888771066,-22.955118513384583,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
1631311080,true,2014-02-22 12:00:00.000,-46.7490595282261,-22.956643430336225,"radio-transmitter","Turdus leucomelas","1203","2","Radio telemetry study involving two species of birds of the genus Turdus sp. in Brazil. (Da Silveira et al., 2016 - PlosONE)"
