0	 CONN	6	 1	 up
1000	 CONN	6	 1	 down
2000	 CONN	6	 1	 up
3000	 CONN	6	 1	 down
4000	 CONN	6	 1	 up
5000	 CONN	6	 1	 down
6000	 CONN	6	 1	 up
7000	 CONN	6	 1	 down
8000	 CONN	6	 1	 up
9000	 CONN	6	 1	 down
10000	 CONN	6	 1	 up
11000	 CONN	6	 1	 down
12000	 CONN	6	 1	 up
13000	 CONN	6	 1	 down
14000	 CONN	6	 1	 up
15000	 CONN	6	 1	 down
16000	 CONN	6	 1	 up
17000	 CONN	6	 1	 down
18000	 CONN	6	 1	 up
19000	 CONN	6	 1	 down
20000	 CONN	6	 1	 up
21000	 CONN	6	 1	 down
22000	 CONN	6	 1	 up
23000	 CONN	6	 1	 down
24000	 CONN	6	 1	 up
25000	 CONN	6	 1	 down
26000	 CONN	6	 1	 up
27000	 CONN	6	 1	 down
28000	 CONN	6	 1	 up
29000	 CONN	6	 1	 down
30000	 CONN	6	 1	 up
31000	 CONN	6	 1	 down
32000	 CONN	6	 1	 up
33000	 CONN	6	 1	 down
34000	 CONN	6	 1	 up
35000	 CONN	6	 1	 down
36000	 CONN	6	 1	 up
37000	 CONN	6	 1	 down
38000	 CONN	6	 1	 up
39000	 CONN	6	 1	 down
40000	 CONN	6	 1	 up
41000	 CONN	6	 1	 down
42000	 CONN	6	 1	 up
43000	 CONN	6	 1	 down
44000	 CONN	6	 1	 up
45000	 CONN	6	 1	 down
46000	 CONN	6	 1	 up
47000	 CONN	6	 1	 down
48000	 CONN	6	 1	 up
49000	 CONN	6	 1	 down
50000	 CONN	6	 1	 up
51000	 CONN	6	 1	 down
52000	 CONN	6	 1	 up
53000	 CONN	6	 1	 down
54000	 CONN	6	 1	 up
55000	 CONN	6	 1	 down
56000	 CONN	6	 1	 up
57000	 CONN	6	 1	 down
58000	 CONN	6	 1	 up
59000	 CONN	6	 1	 down
60000	 CONN	6	 1	 up
61000	 CONN	6	 1	 down
62000	 CONN	6	 1	 up
63000	 CONN	6	 1	 down
64000	 CONN	6	 1	 up
65000	 CONN	6	 1	 down
66000	 CONN	6	 1	 up
67000	 CONN	6	 1	 down
68000	 CONN	6	 1	 up
69000	 CONN	6	 1	 down
70000	 CONN	6	 1	 up
71000	 CONN	6	 1	 down
72000	 CONN	6	 1	 up
73000	 CONN	6	 1	 down
74000	 CONN	6	 1	 up
75000	 CONN	6	 1	 down
76000	 CONN	6	 1	 up
77000	 CONN	6	 1	 down
78000	 CONN	6	 1	 up
79000	 CONN	6	 1	 down
80000	 CONN	6	 1	 up
81000	 CONN	6	 1	 down
82000	 CONN	6	 1	 up
83000	 CONN	6	 1	 down
84000	 CONN	6	 1	 up
85000	 CONN	6	 1	 down
86000	 CONN	6	 1	 up
87000	 CONN	6	 1	 down
88000	 CONN	6	 1	 up
89000	 CONN	6	 1	 down
90000	 CONN	6	 1	 up
91000	 CONN	6	 1	 down
92000	 CONN	6	 1	 up
93000	 CONN	6	 1	 down
94000	 CONN	6	 1	 up
95000	 CONN	6	 1	 down
96000	 CONN	6	 1	 up
97000	 CONN	6	 1	 down
98000	 CONN	6	 1	 up
99000	 CONN	6	 1	 down
100000	 CONN	6	 1	 up
101000	 CONN	6	 1	 down
102000	 CONN	6	 1	 up
103000	 CONN	6	 1	 down
104000	 CONN	6	 1	 up
105000	 CONN	6	 1	 down
106000	 CONN	6	 1	 up
107000	 CONN	6	 1	 down
108000	 CONN	6	 1	 up
109000	 CONN	6	 1	 down
110000	 CONN	6	 1	 up
111000	 CONN	6	 1	 down
112000	 CONN	6	 1	 up
113000	 CONN	6	 1	 down
114000	 CONN	6	 1	 up
115000	 CONN	6	 1	 down
116000	 CONN	6	 1	 up
117000	 CONN	6	 1	 down
118000	 CONN	6	 1	 up
119000	 CONN	6	 1	 down
120000	 CONN	6	 1	 up
121000	 CONN	6	 1	 down
122000	 CONN	6	 1	 up
123000	 CONN	6	 1	 down
124000	 CONN	6	 1	 up
125000	 CONN	6	 1	 down
126000	 CONN	6	 1	 up
127000	 CONN	6	 1	 down
128000	 CONN	6	 1	 up
129000	 CONN	6	 1	 down
130000	 CONN	6	 1	 up
131000	 CONN	6	 1	 down
132000	 CONN	6	 1	 up
133000	 CONN	6	 1	 down
134000	 CONN	6	 1	 up
135000	 CONN	6	 1	 down
136000	 CONN	6	 1	 up
137000	 CONN	6	 1	 down
138000	 CONN	6	 1	 up
139000	 CONN	6	 1	 down
140000	 CONN	6	 1	 up
141000	 CONN	6	 1	 down
142000	 CONN	6	 1	 up
143000	 CONN	6	 1	 down
144000	 CONN	6	 1	 up
145000	 CONN	6	 1	 down
146000	 CONN	6	 1	 up
147000	 CONN	6	 1	 down
148000	 CONN	6	 1	 up
149000	 CONN	6	 1	 down
150000	 CONN	6	 1	 up
151000	 CONN	6	 1	 down
152000	 CONN	6	 1	 up
153000	 CONN	6	 1	 down
154000	 CONN	6	 1	 up
155000	 CONN	6	 1	 down
156000	 CONN	6	 1	 up
157000	 CONN	6	 1	 down
158000	 CONN	6	 1	 up
159000	 CONN	6	 1	 down
160000	 CONN	6	 1	 up
161000	 CONN	6	 1	 down
162000	 CONN	6	 1	 up
163000	 CONN	6	 1	 down
164000	 CONN	6	 1	 up
165000	 CONN	6	 1	 down
166000	 CONN	6	 1	 up
167000	 CONN	6	 1	 down
168000	 CONN	6	 1	 up
169000	 CONN	6	 1	 down
170000	 CONN	6	 1	 up
171000	 CONN	6	 1	 down
172000	 CONN	6	 1	 up
173000	 CONN	6	 1	 down
174000	 CONN	6	 1	 up
175000	 CONN	6	 1	 down
176000	 CONN	6	 1	 up
177000	 CONN	6	 1	 down
178000	 CONN	6	 1	 up
179000	 CONN	6	 1	 down
180000	 CONN	6	 1	 up
181000	 CONN	6	 1	 down
182000	 CONN	6	 1	 up
183000	 CONN	6	 1	 down
184000	 CONN	6	 1	 up
185000	 CONN	6	 1	 down
186000	 CONN	6	 1	 up
187000	 CONN	6	 1	 down
188000	 CONN	6	 1	 up
189000	 CONN	6	 1	 down
190000	 CONN	6	 1	 up
191000	 CONN	6	 1	 down
192000	 CONN	6	 1	 up
193000	 CONN	6	 1	 down
194000	 CONN	6	 1	 up
195000	 CONN	6	 1	 down
196000	 CONN	6	 1	 up
197000	 CONN	6	 1	 down
198000	 CONN	6	 1	 up
199000	 CONN	6	 1	 down
200000	 CONN	6	 1	 up
201000	 CONN	6	 1	 down
202000	 CONN	6	 1	 up
203000	 CONN	6	 1	 down
204000	 CONN	6	 1	 up
205000	 CONN	6	 1	 down
206000	 CONN	6	 1	 up
207000	 CONN	6	 1	 down
208000	 CONN	6	 1	 up
209000	 CONN	6	 1	 down
210000	 CONN	6	 1	 up
211000	 CONN	6	 1	 down
212000	 CONN	6	 1	 up
213000	 CONN	6	 1	 down
214000	 CONN	6	 1	 up
215000	 CONN	6	 1	 down
216000	 CONN	6	 1	 up
217000	 CONN	6	 1	 down
218000	 CONN	6	 1	 up
219000	 CONN	6	 1	 down
220000	 CONN	6	 1	 up
221000	 CONN	6	 1	 down
222000	 CONN	6	 1	 up
223000	 CONN	6	 1	 down
224000	 CONN	6	 1	 up
225000	 CONN	6	 1	 down
226000	 CONN	6	 1	 up
227000	 CONN	6	 1	 down
228000	 CONN	6	 1	 up
229000	 CONN	6	 1	 down
230000	 CONN	6	 1	 up
231000	 CONN	6	 1	 down
232000	 CONN	6	 1	 up
233000	 CONN	6	 1	 down
234000	 CONN	6	 1	 up
235000	 CONN	6	 1	 down
236000	 CONN	6	 1	 up
237000	 CONN	6	 1	 down
238000	 CONN	6	 1	 up
239000	 CONN	6	 1	 down
240000	 CONN	6	 1	 up
241000	 CONN	6	 1	 down
242000	 CONN	6	 1	 up
243000	 CONN	6	 1	 down
244000	 CONN	6	 1	 up
245000	 CONN	6	 1	 down
246000	 CONN	6	 1	 up
247000	 CONN	6	 1	 down
248000	 CONN	6	 1	 up
249000	 CONN	6	 1	 down
250000	 CONN	6	 1	 up
251000	 CONN	6	 1	 down
252000	 CONN	6	 1	 up
253000	 CONN	6	 1	 down
254000	 CONN	6	 1	 up
255000	 CONN	6	 1	 down
256000	 CONN	6	 1	 up
257000	 CONN	6	 1	 down
258000	 CONN	6	 1	 up
259000	 CONN	6	 1	 down
260000	 CONN	6	 1	 up
261000	 CONN	6	 1	 down
262000	 CONN	6	 1	 up
263000	 CONN	6	 1	 down
264000	 CONN	6	 1	 up
265000	 CONN	6	 1	 down
266000	 CONN	6	 1	 up
267000	 CONN	6	 1	 down
268000	 CONN	6	 1	 up
269000	 CONN	6	 1	 down
270000	 CONN	6	 1	 up
271000	 CONN	6	 1	 down
272000	 CONN	3	 2	 up
273000	 CONN	3	 2	 down
274000	 CONN	3	 2	 up
