0	 CONN	13794	 13793	 up
1000	 CONN	13794	 13793	 down
2000	 CONN	13794	 13792	 up
3000	 CONN	13794	 13792	 down
4000	 CONN	13794	 13792	 up
5000	 CONN	13794	 13792	 down
6000	 CONN	13794	 13792	 up
7000	 CONN	13794	 13792	 down
8000	 CONN	13794	 13792	 up
9000	 CONN	13794	 13792	 down
10000	 CONN	13794	 13792	 up
11000	 CONN	13794	 13792	 down
12000	 CONN	13794	 13792	 up
13000	 CONN	13794	 13792	 down
14000	 CONN	13794	 13792	 up
15000	 CONN	13794	 13792	 down
16000	 CONN	13794	 13792	 up
17000	 CONN	13794	 13792	 down
18000	 CONN	13794	 13792	 up
19000	 CONN	13794	 13792	 down
20000	 CONN	13794	 13792	 up
21000	 CONN	13794	 13792	 down
22000	 CONN	13794	 13792	 up
23000	 CONN	13794	 13792	 down
24000	 CONN	13794	 13792	 up
25000	 CONN	13794	 13792	 down
26000	 CONN	13794	 13792	 up
27000	 CONN	13794	 13792	 down
28000	 CONN	13794	 13792	 up
29000	 CONN	13794	 13792	 down
30000	 CONN	13794	 13792	 up
31000	 CONN	13794	 13792	 down
32000	 CONN	13794	 13792	 up
33000	 CONN	13794	 13792	 down
34000	 CONN	13794	 13792	 up
35000	 CONN	13794	 13792	 down
36000	 CONN	13794	 13792	 up
37000	 CONN	13794	 13792	 down
38000	 CONN	13794	 13792	 up
39000	 CONN	13794	 13792	 down
40000	 CONN	13794	 13792	 up
41000	 CONN	13794	 13792	 down
42000	 CONN	13794	 13792	 up
43000	 CONN	13794	 13792	 down
44000	 CONN	13794	 13792	 up
45000	 CONN	13794	 13792	 down
46000	 CONN	13794	 13792	 up
47000	 CONN	13794	 13792	 down
48000	 CONN	13794	 13792	 up
49000	 CONN	13794	 13792	 down
50000	 CONN	13794	 13792	 up
51000	 CONN	13794	 13792	 down
52000	 CONN	13794	 13792	 up
53000	 CONN	13794	 13792	 down
54000	 CONN	13794	 13792	 up
55000	 CONN	13794	 13792	 down
56000	 CONN	13794	 13792	 up
57000	 CONN	13794	 13792	 down
58000	 CONN	13794	 13792	 up
59000	 CONN	13794	 13792	 down
60000	 CONN	13794	 13792	 up
61000	 CONN	13794	 13792	 down
62000	 CONN	13794	 13792	 up
63000	 CONN	13794	 13792	 down
64000	 CONN	13794	 13792	 up
65000	 CONN	13794	 13792	 down
66000	 CONN	13794	 13792	 up
67000	 CONN	13794	 13792	 down
68000	 CONN	13794	 13792	 up
69000	 CONN	13794	 13792	 down
70000	 CONN	13794	 13792	 up
71000	 CONN	13794	 13792	 down
72000	 CONN	13794	 13792	 up
73000	 CONN	13794	 13792	 down
74000	 CONN	33677	 13794	 up
75000	 CONN	33677	 13794	 down
76000	 CONN	33677	 13794	 up
77000	 CONN	33677	 13794	 down
78000	 CONN	33677	 13794	 up
79000	 CONN	33677	 13794	 down
80000	 CONN	33677	 13794	 up
81000	 CONN	33677	 13794	 down
82000	 CONN	33677	 13794	 up
83000	 CONN	33677	 13794	 down
84000	 CONN	33677	 13794	 up
85000	 CONN	33677	 13794	 down
86000	 CONN	33677	 13794	 up
87000	 CONN	33677	 13794	 down
88000	 CONN	33677	 13794	 up
89000	 CONN	33677	 13794	 down
90000	 CONN	33677	 13794	 up
91000	 CONN	33677	 13794	 down
92000	 CONN	33677	 13794	 up
93000	 CONN	33677	 13794	 down
94000	 CONN	33677	 13794	 up
95000	 CONN	33677	 13794	 down
