# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2000.1000 M30 1000 1 988.1000 p4 p2 283 N p4->p2
2877.1000 M84 1000 1 0.1000 p4 p2 299 N p4->p2
4632.1000 M135 1000 1 0.1000 p4 p2 299 N p4->p2
6000.1000 M174 1000 1 32.1000 p2 p4 299 N p2->p4
6000.2000 M156 1000 1 653.2000 p2 p4 289 N p2->p4
8000.1000 M232 1000 1 7.1000 p4 p2 299 N p4->p2
8000.2000 M211 1000 1 751.2000 p4 p2 287 N p4->p2
8000.3000 M205 1000 1 960.3000 p4 p2 283 N p4->p2
8000.4000 M208 1000 1 850.4000 p2 p4 285 N p2->p4
10000.1000 M265 1000 1 863.1000 p4 p2 285 N p4->p2
10626.1000 M308 1000 1 0.1000 p2 p4 299 N p2->p4
11000.1000 M248 1000 1 2445.1000 p2 p5 259 N p2->p5
11000.2000 M242 1000 2 2663.2000 p4 p5 255 N p4->p2->p5
11000.3000 M210 1000 1 3784.3000 p2 p5 236 N p2->p5
11000.4000 M273 1000 2 1595.4000 p4 p5 273 N p4->p2->p5
11000.5000 M26 1000 1 10117.5000 p2 p5 131 N p2->p5
11000.6000 M150 1000 1 5847.6000 p2 p5 202 N p2->p5
11000.7000 M42 1000 2 9564.7000 p4 p5 140 N p4->p2->p5
11000.8000 M239 1000 2 2767.8000 p4 p5 253 N p4->p2->p5
11000.9000 M255 1000 1 2198.9000 p5 p2 263 N p5->p2
11001.0000 M144 1000 1 6052.0000 p5 p2 199 N p5->p2
11001.1000 M309 1000 1 340.1000 p5 p2 294 N p5->p2
11004.1000 M276 1000 2 1490.1000 p5 p4 275 N p5->p2->p4
11004.2000 M126 1000 2 6680.2000 p5 p4 188 N p5->p2->p4
11004.3000 M264 1000 2 1899.3000 p5 p4 268 N p5->p2->p4
11004.4000 M76 1000 2 8399.4000 p5 p4 160 N p5->p2->p4
11004.5000 M304 1000 2 513.5000 p5 p4 291 N p5->p2->p4
11024.2000 M319 1000 2 0.2000 p5 p4 299 N p5->p2->p4
11157.3000 M323 1000 2 0.3000 p5 p4 299 N p5->p2->p4
12006.1000 M347 1000 1 0.1000 p5 p2 299 N p5->p2
12515.1000 M362 1000 1 0.1000 p5 p2 299 N p5->p2
12685.1000 M367 1000 1 0.1000 p5 p2 299 N p5->p2
14000.1000 M380 1000 1 858.1000 p2 p5 285 N p2->p5
15707.1000 M454 1000 1 0.1000 p5 p2 299 N p5->p2
17000.1000 M352 1000 2 4825.1000 p2 p4 219 N p2->p5->p4
17000.2000 M350 1000 1 4893.2000 p4 p5 218 N p4->p5
17000.3000 M373 1000 1 4108.3000 p4 p5 231 N p4->p5
17000.4000 M404 1000 1 3028.4000 p4 p5 249 N p4->p5
17408.1000 M503 1000 1 0.1000 p5 p4 299 N p5->p4
17832.1000 M515 1000 1 0.1000 p4 p5 299 N p4->p5
18567.1000 M536 1000 1 0.1000 p5 p4 299 N p5->p4
20000.1000 M550 1000 1 937.1000 p5 p4 284 N p5->p4
20000.2000 M565 1000 1 422.2000 p4 p5 292 N p4->p5
20435.1000 M590 1000 1 0.1000 p4 p5 299 N p4->p5
22217.1000 M641 1000 1 0.1000 p5 p4 299 N p5->p4
22771.1000 M657 1000 1 0.1000 p5 p4 299 N p5->p4
22878.1000 M660 1000 1 0.1000 p4 p5 299 N p4->p5
24000.1000 M555 1000 1 4763.1000 p6 p9 220 N p6->p9
24000.2000 M259 1000 1 15062.2000 p6 p9 48 N p6->p9
24000.3000 M677 1000 1 539.3000 p9 p6 291 N p9->p6
24000.4000 M266 1000 1 14828.4000 p9 p6 52 N p9->p6
24000.5000 M650 1000 1 1467.5000 p9 p6 275 N p9->p6
24000.6000 M339 1000 1 12279.6000 p9 p6 95 N p9->p6
24486.1000 M707 1000 1 0.1000 p9 p6 299 N p9->p6
