0	 CONN	3	 1	 up
1000	 CONN	3	 1	 down
2000	 CONN	3	 1	 up
3000	 CONN	3	 1	 down
4000	 CONN	3	 1	 up
5000	 CONN	3	 1	 down
6000	 CONN	3	 1	 up
7000	 CONN	3	 1	 down
8000	 CONN	3	 1	 up
9000	 CONN	3	 1	 down
10000	 CONN	3	 1	 up
11000	 CONN	4	 1	 up
12000	 CONN	3	 1	 down
13000	 CONN	4	 1	 down
14000	 CONN	4	 1	 up
15000	 CONN	9	 1	 up
16000	 CONN	4	 1	 down
17000	 CONN	4	 3	 up
18000	 CONN	9	 1	 down
19000	 CONN	4	 3	 down
20000	 CONN	4	 3	 up
21000	 CONN	4	 3	 down
22000	 CONN	4	 3	 up
23000	 CONN	4	 3	 down
24000	 CONN	8	 5	 up
25000	 CONN	8	 5	 down
