0	 CONN	4	 2	 up
1000	 CONN	4	 2	 down
2000	 CONN	4	 2	 up
3000	 CONN	4	 2	 down
4000	 CONN	4	 2	 up
5000	 CONN	4	 2	 down
6000	 CONN	4	 2	 up
7000	 CONN	4	 2	 down
8000	 CONN	4	 2	 up
9000	 CONN	4	 2	 down
10000	 CONN	4	 2	 up
11000	 CONN	5	 2	 up
12000	 CONN	4	 2	 down
13000	 CONN	5	 2	 down
14000	 CONN	5	 2	 up
15000	 CONN	10	 2	 up
16000	 CONN	5	 2	 down
17000	 CONN	5	 4	 up
18000	 CONN	10	 2	 down
19000	 CONN	5	 4	 down
20000	 CONN	5	 4	 up
21000	 CONN	5	 4	 down
22000	 CONN	5	 4	 up
23000	 CONN	5	 4	 down
24000	 CONN	9	 6	 up
25000	 CONN	9	 6	 down
