0	 CONN	4	 2	 up
1	 CONN	4	 2	 up
2	 CONN	4	 2	 up
3	 CONN	4	 2	 up
4	 CONN	4	 2	 up
5	 CONN	4	 2	 up
6	 CONN	4	 2	 up
7	 CONN	4	 2	 up
8	 CONN	4	 2	 up
9	 CONN	4	 2	 up
10	 CONN	4	 2	 up
11	 CONN	5	 2	 up
11	 CONN	4	 2	 down
12	 CONN	5	 2	 up
12	 CONN	4	 2	 down
13	 CONN	5	 2	 up
13	 CONN	4	 2	 down
14	 CONN	5	 2	 up
14	 CONN	4	 2	 down
15	 CONN	10	 2	 up
15	 CONN	4	 2	 down
16	 CONN	10	 2	 up
16	 CONN	4	 2	 down
17	 CONN	5	 4	 up
17	 CONN	4	 2	 down
18	 CONN	5	 4	 up
18	 CONN	4	 2	 down
19	 CONN	5	 4	 up
19	 CONN	4	 2	 down
20	 CONN	5	 4	 up
20	 CONN	4	 2	 down
21	 CONN	5	 4	 up
21	 CONN	4	 2	 down
22	 CONN	5	 4	 up
22	 CONN	5	 2	 down
23	 CONN	5	 4	 up
23	 CONN	5	 2	 down
24	 CONN	9	 6	 up
24	 CONN	5	 2	 down
