0	 CONN	4	 0	 up
1000	 CONN	11	 0	 up
2000	 CONN	4	 0	 down
3000	 CONN	11	 0	 down
4000	 CONN	11	 0	 up
5000	 CONN	11	 0	 down
6000	 CONN	11	 0	 up
7000	 CONN	11	 0	 down
8000	 CONN	11	 0	 up
9000	 CONN	11	 0	 down
10000	 CONN	11	 0	 up
11000	 CONN	11	 0	 down
12000	 CONN	11	 0	 up
13000	 CONN	5	 1	 up
14000	 CONN	13	 2	 up
15000	 CONN	5	 4	 up
16000	 CONN	9	 6	 up
17000	 CONN	11	 0	 down
18000	 CONN	25	 6	 up
19000	 CONN	5	 1	 down
20000	 CONN	13	 2	 down
21000	 CONN	5	 4	 down
22000	 CONN	9	 6	 down
23000	 CONN	25	 6	 down
24000	 CONN	25	 6	 up
25000	 CONN	25	 6	 down
26000	 CONN	25	 6	 up
27000	 CONN	25	 6	 down
28000	 CONN	25	 6	 up
29000	 CONN	25	 6	 down
30000	 CONN	25	 6	 up
31000	 CONN	25	 6	 down
32000	 CONN	25	 6	 up
33000	 CONN	25	 6	 down
34000	 CONN	25	 6	 up
35000	 CONN	25	 6	 down
36000	 CONN	25	 6	 up
37000	 CONN	25	 6	 down
38000	 CONN	25	 6	 up
39000	 CONN	25	 6	 down
40000	 CONN	25	 6	 up
41000	 CONN	25	 6	 down
42000	 CONN	25	 6	 up
43000	 CONN	25	 6	 down
44000	 CONN	25	 6	 up
45000	 CONN	25	 6	 down
46000	 CONN	25	 6	 up
47000	 CONN	25	 6	 down
48000	 CONN	25	 6	 up
49000	 CONN	25	 6	 down
50000	 CONN	25	 6	 up
51000	 CONN	25	 6	 down
52000	 CONN	25	 6	 up
53000	 CONN	25	 6	 down
54000	 CONN	25	 6	 up
55000	 CONN	25	 6	 down
56000	 CONN	25	 6	 up
57000	 CONN	25	 6	 down
58000	 CONN	25	 6	 up
59000	 CONN	25	 6	 down
60000	 CONN	25	 6	 up
61000	 CONN	25	 6	 down
62000	 CONN	27	 6	 up
63000	 CONN	27	 6	 down
64000	 CONN	27	 6	 up
65000	 CONN	36	 6	 up
66000	 CONN	27	 6	 down
67000	 CONN	14	 9	 up
68000	 CONN	36	 6	 down
69000	 CONN	14	 9	 down
70000	 CONN	14	 9	 up
71000	 CONN	14	 9	 down
72000	 CONN	14	 9	 up
73000	 CONN	14	 9	 down
74000	 CONN	15	 9	 up
75000	 CONN	15	 9	 down
76000	 CONN	15	 9	 up
77000	 CONN	16	 9	 up
78000	 CONN	15	 9	 down
79000	 CONN	16	 9	 down
80000	 CONN	16	 9	 up
81000	 CONN	16	 9	 down
82000	 CONN	16	 9	 up
83000	 CONN	16	 9	 down
84000	 CONN	16	 9	 up
85000	 CONN	16	 9	 down
86000	 CONN	16	 9	 up
87000	 CONN	16	 9	 down
88000	 CONN	36	 9	 up
89000	 CONN	36	 9	 down
90000	 CONN	36	 9	 up
91000	 CONN	37	 9	 up
92000	 CONN	36	 9	 down
93000	 CONN	37	 9	 down
94000	 CONN	37	 9	 up
95000	 CONN	37	 9	 down
96000	 CONN	37	 9	 up
97000	 CONN	55	 9	 up
98000	 CONN	37	 9	 down
99000	 CONN	55	 9	 down
100000	 CONN	55	 9	 up
101000	 CONN	12	 10	 up
102000	 CONN	13	 11	 up
103000	 CONN	55	 9	 down
104000	 CONN	12	 10	 down
105000	 CONN	24	 11	 up
106000	 CONN	13	 12	 up
107000	 CONN	13	 11	 down
108000	 CONN	15	 14	 up
109000	 CONN	24	 11	 down
110000	 CONN	13	 12	 down
111000	 CONN	15	 14	 down
112000	 CONN	16	 14	 up
113000	 CONN	16	 14	 down
114000	 CONN	16	 14	 up
115000	 CONN	16	 14	 down
116000	 CONN	37	 14	 up
117000	 CONN	37	 14	 down
118000	 CONN	37	 14	 up
119000	 CONN	37	 14	 down
120000	 CONN	37	 14	 up
121000	 CONN	37	 14	 down
122000	 CONN	37	 14	 up
123000	 CONN	37	 14	 down
124000	 CONN	55	 14	 up
125000	 CONN	55	 14	 down
126000	 CONN	55	 14	 up
127000	 CONN	55	 14	 down
128000	 CONN	16	 15	 up
129000	 CONN	16	 15	 down
130000	 CONN	16	 15	 up
131000	 CONN	16	 15	 down
132000	 CONN	16	 15	 up
133000	 CONN	16	 15	 down
134000	 CONN	16	 15	 up
135000	 CONN	16	 15	 down
136000	 CONN	16	 15	 up
137000	 CONN	16	 15	 down
138000	 CONN	16	 15	 up
139000	 CONN	16	 15	 down
140000	 CONN	16	 15	 up
141000	 CONN	16	 15	 down
142000	 CONN	16	 15	 up
143000	 CONN	16	 15	 down
144000	 CONN	16	 15	 up
145000	 CONN	16	 15	 down
146000	 CONN	25	 15	 up
147000	 CONN	25	 15	 down
148000	 CONN	29	 15	 up
149000	 CONN	29	 15	 down
150000	 CONN	29	 15	 up
151000	 CONN	29	 15	 down
152000	 CONN	34	 15	 up
153000	 CONN	34	 15	 down
154000	 CONN	34	 15	 up
155000	 CONN	34	 15	 down
156000	 CONN	34	 15	 up
157000	 CONN	34	 15	 down
158000	 CONN	37	 15	 up
159000	 CONN	37	 15	 down
160000	 CONN	55	 15	 up
161000	 CONN	55	 15	 down
162000	 CONN	55	 15	 up
163000	 CONN	55	 15	 down
164000	 CONN	55	 15	 up
165000	 CONN	55	 15	 down
166000	 CONN	55	 15	 up
167000	 CONN	55	 15	 down
168000	 CONN	25	 16	 up
169000	 CONN	29	 16	 up
170000	 CONN	25	 16	 down
171000	 CONN	29	 16	 down
172000	 CONN	29	 16	 up
173000	 CONN	29	 16	 down
174000	 CONN	29	 16	 up
175000	 CONN	29	 16	 down
176000	 CONN	29	 16	 up
177000	 CONN	29	 16	 down
178000	 CONN	34	 16	 up
179000	 CONN	34	 16	 down
180000	 CONN	34	 16	 up
181000	 CONN	34	 16	 down
182000	 CONN	34	 16	 up
183000	 CONN	34	 16	 down
184000	 CONN	34	 16	 up
185000	 CONN	34	 16	 down
186000	 CONN	55	 16	 up
187000	 CONN	55	 16	 down
188000	 CONN	55	 16	 up
189000	 CONN	55	 16	 down
190000	 CONN	55	 16	 up
191000	 CONN	55	 16	 down
192000	 CONN	18	 17	 up
193000	 CONN	18	 17	 down
194000	 CONN	18	 17	 up
195000	 CONN	19	 17	 up
196000	 CONN	18	 17	 down
197000	 CONN	19	 17	 down
198000	 CONN	19	 17	 up
199000	 CONN	19	 17	 down
200000	 CONN	19	 17	 up
201000	 CONN	19	 17	 down
202000	 CONN	19	 17	 up
203000	 CONN	19	 17	 down
204000	 CONN	19	 17	 up
205000	 CONN	19	 17	 down
206000	 CONN	19	 17	 up
207000	 CONN	20	 17	 up
208000	 CONN	19	 17	 down
209000	 CONN	20	 17	 down
210000	 CONN	20	 17	 up
211000	 CONN	22	 17	 up
212000	 CONN	45	 17	 up
213000	 CONN	20	 17	 down
214000	 CONN	22	 17	 down
215000	 CONN	19	 18	 up
216000	 CONN	45	 17	 down
217000	 CONN	19	 18	 down
218000	 CONN	20	 18	 up
219000	 CONN	20	 18	 down
220000	 CONN	22	 18	 up
221000	 CONN	22	 18	 down
222000	 CONN	22	 18	 up
223000	 CONN	22	 18	 down
224000	 CONN	20	 19	 up
225000	 CONN	20	 19	 down
226000	 CONN	20	 19	 up
227000	 CONN	20	 19	 down
228000	 CONN	45	 19	 up
229000	 CONN	45	 19	 down
230000	 CONN	47	 19	 up
231000	 CONN	47	 19	 down
232000	 CONN	22	 20	 up
233000	 CONN	43	 20	 up
234000	 CONN	45	 20	 up
235000	 CONN	22	 20	 down
236000	 CONN	23	 22	 up
237000	 CONN	43	 20	 down
238000	 CONN	45	 20	 down
239000	 CONN	43	 22	 up
240000	 CONN	23	 22	 down
241000	 CONN	44	 22	 up
242000	 CONN	45	 22	 up
243000	 CONN	43	 22	 down
244000	 CONN	44	 22	 down
245000	 CONN	45	 22	 down
246000	 CONN	43	 23	 up
247000	 CONN	43	 23	 down
248000	 CONN	43	 23	 up
249000	 CONN	43	 23	 down
250000	 CONN	43	 23	 up
251000	 CONN	43	 23	 down
252000	 CONN	43	 23	 up
253000	 CONN	43	 23	 down
254000	 CONN	43	 23	 up
255000	 CONN	43	 23	 down
256000	 CONN	43	 23	 up
257000	 CONN	43	 23	 down
258000	 CONN	44	 23	 up
259000	 CONN	44	 23	 down
260000	 CONN	44	 23	 up
261000	 CONN	44	 23	 down
262000	 CONN	44	 23	 up
263000	 CONN	44	 23	 down
264000	 CONN	44	 23	 up
265000	 CONN	44	 23	 down
266000	 CONN	44	 23	 up
267000	 CONN	44	 23	 down
268000	 CONN	45	 23	 up
269000	 CONN	45	 23	 down
270000	 CONN	45	 23	 up
271000	 CONN	45	 23	 down
272000	 CONN	45	 23	 up
273000	 CONN	45	 23	 down
274000	 CONN	45	 23	 up
275000	 CONN	45	 23	 down
276000	 CONN	26	 25	 up
277000	 CONN	27	 25	 up
278000	 CONN	38	 27	 up
279000	 CONN	34	 29	 up
280000	 CONN	26	 25	 down
281000	 CONN	33	 30	 up
282000	 CONN	27	 25	 down
283000	 CONN	38	 27	 down
284000	 CONN	34	 29	 down
285000	 CONN	33	 30	 down
286000	 CONN	33	 30	 up
287000	 CONN	33	 30	 down
288000	 CONN	33	 30	 up
289000	 CONN	33	 30	 down
290000	 CONN	33	 30	 up
291000	 CONN	33	 30	 down
292000	 CONN	49	 30	 up
293000	 CONN	49	 30	 down
294000	 CONN	49	 30	 up
295000	 CONN	49	 30	 down
296000	 CONN	49	 30	 up
297000	 CONN	49	 30	 down
298000	 CONN	49	 30	 up
299000	 CONN	49	 30	 down
300000	 CONN	49	 30	 up
301000	 CONN	49	 30	 down
302000	 CONN	49	 30	 up
303000	 CONN	50	 30	 up
304000	 CONN	32	 31	 up
305000	 CONN	49	 30	 down
306000	 CONN	50	 30	 down
307000	 CONN	32	 31	 down
308000	 CONN	49	 33	 up
309000	 CONN	49	 33	 down
310000	 CONN	49	 33	 up
311000	 CONN	49	 33	 down
312000	 CONN	49	 33	 up
313000	 CONN	49	 33	 down
314000	 CONN	49	 33	 up
315000	 CONN	49	 33	 down
316000	 CONN	49	 33	 up
317000	 CONN	49	 33	 down
318000	 CONN	49	 33	 up
319000	 CONN	49	 33	 down
320000	 CONN	49	 33	 up
321000	 CONN	49	 33	 down
