# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1158.1000 M34 1000 1 0.1000 p3 p4 299 N p3->p4
1298.1000 M38 1000 1 0.1000 p4 p3 299 N p4->p3
1353.1000 M29 1000 1 371.1000 p0 p4 293 N p0->p4
1353.2000 M28 1000 2 405.2000 p3 p0 293 N p3->p4->p0
1353.3000 M33 1000 2 234.3000 p3 p0 296 N p3->p4->p0
1353.4000 M9 1000 2 1045.4000 p3 p0 282 N p3->p4->p0
1354.6000 M14 1000 2 877.6000 p0 p3 285 N p0->p4->p3
1764.1000 M6 1000 4 1553.1000 p4 p1 274 N p4->p15->p16->p12->p1
1764.2000 M46 1000 4 200.2000 p4 p1 296 N p4->p15->p16->p12->p1
1764.3000 M25 1000 5 914.3000 p0 p1 284 N p0->p4->p15->p16->p12->p1
1764.4000 M13 1000 5 1321.4000 p3 p1 277 N p3->p4->p15->p16->p12->p1
1768.4000 M18 1000 3 1155.4000 p1 p4 280 N p1->p12->p15->p4
1770.1000 M2 1000 4 1699.1000 p1 p0 271 N p1->p12->p15->p4->p0
1770.2000 M7 1000 4 1528.2000 p1 p3 274 N p1->p12->p15->p4->p3
1770.3000 M3 1000 4 1666.3000 p1 p3 272 N p1->p12->p15->p4->p3
2105.0000 M45 1000 4 571.0000 p1 p2 290 N p1->p12->p15->p13->p2
2105.1000 M30 1000 3 1093.1000 p4 p2 281 N p4->p15->p13->p2
2134.1000 M19 1000 5 1490.1000 p2 p1 275 N p2->p13->p15->c89->p20->p1
2210.1000 M63 1000 1 51.1000 p3 p0 299 N p3->p0
2210.2000 M4 1000 12 2075.2000 p2 p3 265 N p2->p13->p15->p52->p44->c79->c85->c74->c80->p35->p14->p0->p3
2210.3000 M44 1000 12 707.3000 p2 p3 288 N p2->p13->p15->p52->p44->c79->c85->c74->c80->p35->p14->p0->p3
2266.1000 M66 1000 1 0.1000 p0 p3 299 N p0->p3
3248.1000 M92 1000 2 92.1000 p4 p3 298 N p4->p0->p3
3698.1000 M108 1000 1 0.1000 p0 p4 299 N p0->p4
4070.7000 M111 1000 5 264.7000 p1 p2 295 N p1->p12->p16->p15->p13->p2
4812.1000 M83 1000 2 1969.1000 p2 p0 267 N p2->p13->p0
4813.5000 M80 1000 5 2070.5000 p1 p4 265 N p1->p12->p15->p13->p0->p4
4813.6000 M86 1000 5 1862.6000 p1 p4 268 N p1->p12->p15->p13->p0->p4
4817.7000 M84 1000 3 1940.7000 p4 p2 267 N p4->p0->p13->p2
4817.8000 M135 1000 3 185.8000 p4 p2 296 N p4->p0->p13->p2
4823.1000 M88 1000 4 1810.1000 p2 p3 269 N p2->p13->p0->p4->p3
4823.2000 M125 1000 4 529.2000 p2 p3 291 N p2->p13->p0->p4->p3
4823.3000 M99 1000 7 1435.3000 p1 p3 276 N p1->p12->p16->p15->p13->p0->p4->p3
4828.3000 M94 1000 5 1607.3000 p0 p1 273 N p0->p13->p15->p16->p12->p1
4828.4000 M132 1000 7 301.4000 p3 p1 294 N p3->p4->p0->p13->p15->p16->p12->p1
4828.5000 M137 1000 5 135.5000 p0 p1 297 N p0->p13->p15->p16->p12->p1
4876.5000 M142 1000 2 0.5000 p0 p2 299 N p0->p13->p2
6365.1000 M186 1000 1 0.1000 p0 p3 299 N p0->p3
7742.1000 M130 1000 6 3284.1000 p4 p7 245 N p4->p0->p13->p15->p16->c96->p7
7742.2000 M40 1000 14 6374.2000 p1 p7 193 N p1->p12->p15->p4->p0->p39->p68->p61->p35->c74->p45->c82->p25->c96->p7
7742.3000 M123 1000 8 3517.3000 p2 p7 241 N p2->p13->p15->p61->p47->c95->p25->c96->p7
7742.4000 M5 1000 14 7568.4000 p1 p7 173 N p1->p12->p15->p4->p0->p39->p68->p61->p35->c74->p45->c82->p25->c96->p7
7742.5000 M56 1000 9 5820.5000 p1 p7 202 N p1->p12->p15->c78->p64->c89->p61->p25->c96->p7
7742.6000 M127 1000 8 3384.6000 p1 p7 243 N p1->p12->p16->p15->p52->c79->p25->c96->p7
7742.7000 M15 1000 10 7228.7000 p0 p7 179 N p0->p39->p68->p61->p35->c74->p45->c82->p25->c96->p7
7742.8000 M71 1000 10 5303.8000 p4 p7 211 N p4->p2->p13->p15->p52->c82->p37->p46->p25->c96->p7
7742.9000 M129 1000 5 3314.9000 p0 p7 244 N p0->p13->p15->p16->c96->p7
7743.0000 M52 1000 14 5969.0000 p1 p7 200 N p1->p12->p15->p4->p0->p39->p68->p30->p66->p20->p31->c82->p25->c96->p7
7743.1000 M178 1000 9 1640.1000 p1 p7 272 N p1->p12->p16->p15->c78->p63->p22->c89->c96->p7
7743.2000 M22 1000 12 6991.2000 p3 p7 183 N p3->p4->p0->p39->p68->p61->p35->c74->p45->c82->p25->c96->p7
7746.1000 M225 1000 1 0.1000 p3 p4 299 N p3->p4
7909.1000 M158 1000 6 2499.1000 p7 p1 258 N p7->c96->c89->c78->p15->p12->p1
7909.2000 M220 1000 6 338.2000 p7 p1 294 N p7->c96->c89->c78->p15->p12->p1
7909.3000 M11 1000 6 7529.3000 p7 p1 174 N p7->c96->c89->c78->p15->p12->p1
7909.4000 M95 1000 6 4657.4000 p7 p1 222 N p7->c96->c89->c78->p15->p12->p1
8102.2000 M235 1000 2 0.2000 p4 p0 299 N p4->p3->p0
8253.2000 M191 1000 5 1708.2000 p1 p0 271 N p1->p12->p16->p15->p13->p0
8255.0000 M174 1000 3 2287.0000 p2 p4 261 N p2->p13->p0->p4
8255.1000 M156 1000 3 2908.1000 p2 p4 251 N p2->p13->p0->p4
8255.2000 M200 1000 6 1396.2000 p1 p4 276 N p1->p12->p16->p15->p13->p0->p4
8255.3000 M208 1000 3 1105.3000 p2 p4 281 N p2->p13->p0->p4
8256.7000 M206 1000 4 1177.7000 p2 p3 280 N p2->p13->p0->p4->p3
8542.1000 M213 1000 4 1224.1000 p3 p2 279 N p3->p4->p0->p13->p2
8542.2000 M55 1000 6 6659.2000 p7 p2 189 N p7->c96->c89->c78->p15->p13->p2
8542.3000 M205 1000 3 1502.3000 p4 p2 274 N p4->p0->p13->p2
8542.4000 M47 1000 6 6947.4000 p7 p2 184 N p7->c96->c89->c78->p15->p13->p2
8542.5000 M211 1000 3 1293.5000 p4 p2 278 N p4->p0->p13->p2
8542.6000 M106 1000 6 4909.6000 p7 p2 218 N p7->c96->c89->c78->p15->p13->p2
8542.7000 M232 1000 4 549.7000 p4 p2 290 N p4->p3->p0->p13->p2
8759.1000 M151 1000 5 3574.1000 p4 p1 240 N p4->p0->p13->p15->p12->p1
8759.2000 M241 1000 4 454.2000 p0 p1 292 N p0->p13->p15->p12->p1
8759.3000 M192 1000 4 2175.3000 p0 p1 263 N p0->p13->p15->p12->p1
8759.4000 M180 1000 5 2586.4000 p4 p1 256 N p4->p0->p13->p15->p12->p1
8759.5000 M176 1000 4 2728.5000 p0 p1 254 N p0->p13->p15->p12->p1
9439.3000 M274 1000 2 0.3000 p0 p3 299 N p0->p4->p3
9779.1000 M265 1000 1 642.1000 p4 p2 289 N p4->p2
9779.2000 M57 1000 7 7821.2000 p7 p4 169 N p7->c96->c89->c78->p15->p13->p2->p4
9779.3000 M67 1000 7 7483.3000 p7 p4 175 N p7->c96->c89->c78->p15->p13->p2->p4
9782.5000 M148 1000 8 4702.5000 p7 p0 221 N p7->c96->c89->c78->p15->p13->p2->p4->p0
9782.6000 M165 1000 8 4119.6000 p7 p0 231 N p7->c96->c89->c78->p15->p13->p2->p4->p0
9782.7000 M204 1000 8 2774.7000 p7 p0 253 N p7->c96->c89->c78->p15->p13->p2->p4->p0
9782.8000 M58 1000 8 7787.8000 p7 p0 170 N p7->c96->c89->c78->p15->p13->p2->p4->p0
10024.1000 M260 1000 2 1054.1000 p2 p3 282 N p2->p4->p3
10024.2000 M10 1000 8 9681.2000 p7 p3 138 N p7->c96->c89->c78->p15->p13->p2->p4->p3
10106.1000 M293 1000 1 0.1000 p0 p3 299 N p0->p3
10141.1000 M294 1000 1 0.1000 p3 p0 299 N p3->p0
10271.1000 M249 1000 11 1683.1000 p3 p1 271 N p3->p4->p2->p13->c82->c78->p70->p52->c71->p15->p12->p1
10476.1000 M292 1000 8 409.1000 p2 p0 293 N p2->c96->p46->c84->p66->c79->c85->c82->p0
10476.2000 M302 1000 5 54.2000 p2 p0 299 N p2->c96->p46->c85->c82->p0
10484.6000 M284 1000 7 700.6000 p3 p2 288 N p3->p4->p0->c82->c85->p46->c96->p2
10484.7000 M297 1000 5 241.7000 p0 p2 295 N p0->c82->c85->p46->c96->p2
10879.1000 M303 1000 9 424.1000 p2 p1 292 N p2->c96->p46->p51->p69->c72->c76->p15->p12->p1
10900.1000 M315 1000 2 23.1000 p3 p0 299 N p3->p4->p0
10900.2000 M308 1000 3 274.2000 p2 p4 295 N p2->p13->p0->p4
11192.1000 M324 1000 1 0.1000 p4 p3 299 N p4->p3
11250.1000 M320 1000 4 195.1000 p3 p2 296 N p3->p4->p0->p13->p2
11268.4000 M326 1000 2 0.4000 p0 p2 299 N p0->p13->p2
11508.1000 M333 1000 1 0.1000 p4 p3 299 N p4->p3
11540.3000 M334 1000 2 0.3000 p0 p3 299 N p0->p4->p3
11832.2000 M342 1000 2 0.2000 p3 p0 299 N p3->p4->p0
11937.1000 M345 1000 1 0.1000 p4 p0 299 N p4->p0
12247.3000 M354 1000 2 0.3000 p0 p3 299 N p0->p4->p3
12652.3000 M366 1000 2 0.3000 p4 p3 299 N p4->p0->p3
12862.1000 M348 1000 5 823.1000 p1 p2 286 N p1->p12->p16->p15->p13->p2
13351.1000 M386 1000 1 0.1000 p4 p0 299 N p4->p0
13407.1000 M359 1000 2 994.1000 p0 p2 283 N p0->p4->p2
13407.2000 M349 1000 1 1333.2000 p4 p2 277 N p4->p2
13407.3000 M387 1000 2 20.3000 p3 p2 299 N p3->p4->p2
13407.4000 M382 1000 2 188.4000 p0 p2 296 N p0->p4->p2
13407.5000 M370 1000 2 618.5000 p3 p2 289 N p3->p4->p2
13407.6000 M352 1000 1 1232.6000 p2 p4 279 N p2->p4
13408.9000 M378 1000 2 335.9000 p2 p0 294 N p2->p4->p0
13409.0000 M355 1000 7 1131.0000 p1 p3 281 N p1->p12->p16->p15->p13->p2->p4->p3
13409.1000 M343 1000 7 1540.1000 p1 p0 274 N p1->p12->p16->p15->p13->p2->p4->p0
13409.2000 M364 1000 7 828.2000 p1 p0 286 N p1->p12->p16->p15->p13->p2->p4->p0
13421.1000 M388 1000 1 0.1000 p4 p3 299 N p4->p3
13562.8000 M338 1000 5 1876.8000 p4 p1 268 N p4->p2->p13->p15->p12->p1
13562.9000 M365 1000 7 945.9000 p3 p1 284 N p3->p0->p4->p2->p13->p15->p12->p1
13626.3000 M394 1000 2 0.3000 p2 p0 299 N p2->p4->p0
14206.1000 M411 1000 1 0.1000 p0 p4 299 N p0->p4
14936.1000 M412 1000 8 692.1000 p2 p0 288 N p2->p13->p15->c97->c79->p35->c72->c82->p0
14936.2000 M395 1000 9 1277.2000 p1 p0 278 N p1->p12->p15->c92->c96->p59->c79->p22->c82->p0
15202.1000 M424 1000 8 533.1000 p0 p1 291 N p0->c82->p70->c91->c88->p15->p16->p12->p1
15202.2000 M407 1000 9 1131.2000 p3 p1 281 N p3->p0->c82->p70->c91->c88->p15->p16->p12->p1
15204.4000 M439 1000 1 0.4000 p0 p4 299 N p0->p4
15333.1000 M403 1000 1 1393.1000 p4 p2 276 N p4->p2
15336.7000 M432 1000 2 378.7000 p2 p3 293 N p2->p4->p3
15448.1000 M446 1000 1 0.1000 p0 p4 299 N p0->p4
15775.4000 M434 1000 6 751.4000 p4 p1 287 N p4->p2->p13->p15->p16->p12->p1
15899.3000 M460 1000 2 0.3000 p0 p3 299 N p0->p4->p3
15934.6000 M461 1000 4 0.6000 p2 p1 299 N p2->p13->p15->p12->p1
16707.9000 M472 1000 4 384.9000 p2 p1 293 N p2->p13->p15->p12->p1
17271.1000 M499 1000 1 0.1000 p4 p0 299 N p4->p0
17306.1000 M500 1000 1 0.1000 p4 p0 299 N p4->p0
17395.1000 M476 1000 1 935.1000 p2 p4 284 N p2->p4
17395.2000 M449 1000 2 1849.2000 p3 p2 269 N p3->p4->p2
17395.3000 M480 1000 2 801.3000 p0 p2 286 N p0->p4->p2
17578.1000 M490 1000 2 626.1000 p2 p0 289 N p2->p4->p0
17578.2000 M501 1000 2 236.2000 p2 p0 296 N p2->p4->p0
17628.1000 M509 1000 1 0.1000 p4 p2 299 N p4->p2
17645.1000 M450 1000 6 2061.1000 p1 p3 265 N p1->p12->p15->p13->p2->p4->p3
17645.2000 M483 1000 2 945.2000 p2 p3 284 N p2->p4->p3
18110.1000 M523 1000 1 0.1000 p4 p0 299 N p4->p0
18256.1000 M527 1000 1 0.1000 p4 p0 299 N p4->p0
18785.6000 M489 1000 4 1867.6000 p1 p2 268 N p1->p12->p15->p13->p2
18840.1000 M531 1000 1 443.1000 p3 p4 292 N p3->p4
18840.3000 M530 1000 2 480.3000 p3 p0 291 N p3->p4->p0
19672.1000 M549 1000 5 641.1000 p2 p1 289 N p2->p13->p15->p16->p12->p1
19672.2000 M537 1000 4 1072.2000 p2 p1 282 N p2->p13->p15->p12->p1
19672.3000 M495 1000 5 2545.3000 p4 p1 257 N p4->p2->p13->p15->p12->p1
19672.4000 M485 1000 4 2896.4000 p2 p1 251 N p2->p13->p15->p12->p1
19764.3000 M554 1000 4 558.3000 p1 p2 290 N p1->p12->p15->p13->p2
19883.3000 M551 1000 3 784.3000 p2 p4 286 N p2->p13->p0->p4
19883.4000 M513 1000 3 2121.4000 p2 p4 264 N p2->p13->p0->p4
19884.5000 M556 1000 4 610.5000 p2 p3 289 N p2->p13->p0->p4->p3
19888.5000 M552 1000 2 754.5000 p0 p2 287 N p0->p13->p2
19888.6000 M563 1000 4 372.6000 p3 p2 293 N p3->p4->p0->p13->p2
19888.7000 M524 1000 3 1739.7000 p4 p2 271 N p4->p0->p13->p2
20091.1000 M566 1000 5 482.1000 p3 p7 291 N p3->p4->c96->p55->c82->p7
20091.2000 M576 1000 9 138.2000 p0 p7 297 N p0->p13->p15->p56->c79->p26->p70->p22->c82->p7
20091.3000 M253 1000 6 11362.3000 p1 p7 110 N p1->p12->p15->p13->p2->c82->p7
20091.4000 M553 1000 3 919.4000 p4 p7 284 N p4->p0->c82->p7
20091.5000 M267 1000 12 10887.5000 p1 p7 118 N p1->p12->p16->p15->c96->p55->c86->p52->c91->c90->c72->c82->p7
20091.6000 M416 1000 3 5710.6000 p3 p7 204 N p3->p0->c82->p7
20091.7000 M444 1000 7 4713.7000 p2 p7 221 N p2->p13->p15->c97->c79->p22->c82->p7
20091.8000 M312 1000 11 9318.8000 p3 p7 144 N p3->p4->p0->p13->p20->p12->p15->p56->c92->c72->c82->p7
20091.9000 M468 1000 2 3911.9000 p0 p7 234 N p0->c82->p7
20092.0000 M425 1000 3 5384.0000 p3 p7 210 N p3->p0->c82->p7
20092.1000 M463 1000 2 4082.1000 p0 p7 231 N p0->c82->p7
20092.2000 M494 1000 4 2995.2000 p3 p7 250 N p3->p4->p0->c82->p7
20092.3000 M372 1000 11 7232.3000 p3 p7 179 N p3->p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.4000 M532 1000 11 1664.4000 p1 p7 272 N p1->p12->p15->p56->p70->p51->c79->p65->c91->p22->c82->p7
20092.5000 M433 1000 9 5102.5000 p3 p7 214 N p3->p4->p2->p13->p15->c97->c79->p22->c82->p7
20092.6000 M374 1000 10 7165.6000 p4 p7 180 N p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.7000 M465 1000 3 4012.7000 p4 p7 233 N p4->p0->c82->p7
20092.8000 M375 1000 10 7130.8000 p4 p7 181 N p4->p2->p13->p15->c92->c96->p59->c79->p22->c82->p7
20092.9000 M268 1000 4 10855.9000 p4 p7 119 N p4->p2->p13->c82->p7
20093.0000 M154 1000 11 14813.0000 p4 p7 53 N p4->p0->p13->p15->c73->c96->c89->p21->p26->p30->c82->p7
20291.2000 M525 1000 5 2104.2000 p7 p2 264 N p7->c82->p56->p15->p13->p2
20291.3000 M486 1000 5 3477.3000 p7 p2 242 N p7->c82->p56->p15->p13->p2
20291.4000 M580 1000 5 198.4000 p7 p2 296 N p7->c82->p56->p15->p13->p2
